anime_id,name,genre,type,episodes,rating,members,image_url
32281,Kimi no Na wa.,"Drama, Romance, School, Supernatural",Movie,1,9.37,200630,https://cdn.myanimelist.net/images/anime/5/87048.jpg
5114,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,64,9.26,793665,https://cdn.myanimelist.net/images/anime/5/47421.jpg
28977,Gintama°,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.25,114262,https://cdn.myanimelist.net/images/anime/3/72078.jpg
9253,Steins;Gate,"Sci-Fi, Thriller",TV,24,9.17,673572,https://cdn.myanimelist.net/images/anime/5/73199.jpg
9969,Gintama',"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.16,151266,https://cdn.myanimelist.net/images/anime/4/50361.jpg
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,"Comedy, Drama, School, Shounen, Sports",TV,10,9.15,93351,https://cdn.myanimelist.net/images/anime/7/81992.jpg
11061,Hunter x Hunter (2011),"Action, Adventure, Shounen, Super Power",TV,148,9.13,425855,https://cdn.myanimelist.net/images/anime/11/33657.jpg
820,Ginga Eiyuu Densetsu,"Drama, Military, Sci-Fi, Space",OVA,110,9.11,80679,https://cdn.myanimelist.net/images/anime/13/13225.jpg
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,9.1,72534,https://cdn.myanimelist.net/images/anime/10/51723.jpg
15417,Gintama': Enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13,9.11,81109,https://cdn.myanimelist.net/images/anime/6/75172.jpg
4181,Clannad: After Story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24,9.06,456749,https://cdn.myanimelist.net/images/anime/13/24647.jpg
28851,Koe no Katachi,"Drama, School, Shounen",Movie,1,9.05,102733,https://cdn.myanimelist.net/images/anime/3/80136.jpg
918,Gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201,9.04,336376,https://cdn.myanimelist.net/images/anime/10/73274.jpg
2904,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25,8.98,572888,https://cdn.myanimelist.net/images/anime/4/9391.jpg
28891,Haikyuu!! Second Season,"Comedy, Drama, School, Shounen, Sports",TV,25,8.93,179342,https://cdn.myanimelist.net/images/anime/9/76662.jpg
199,Sen to Chihiro no Kamikakushi,"Adventure, Drama, Supernatural",Movie,1,8.93,466254,https://cdn.myanimelist.net/images/anime/6/79597.jpg
23273,Shigatsu wa Kimi no Uso,"Drama, Music, Romance, School, Shounen",TV,22,8.92,416397,https://cdn.myanimelist.net/images/anime/3/67177.jpg
24701,Mushishi Zoku Shou 2nd Season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.88,75894,https://cdn.myanimelist.net/images/anime/9/68095.jpg
12355,Ookami Kodomo no Ame to Yuki,"Fantasy, Slice of Life",Movie,1,8.84,226193,https://cdn.myanimelist.net/images/anime/9/35721.jpg
1575,Code Geass: Hangyaku no Lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25,8.83,715151,https://cdn.myanimelist.net/images/anime/5/50331.jpg
263,Hajime no Ippo,"Comedy, Drama, Shounen, Sports",TV,75,8.83,157670,https://cdn.myanimelist.net/images/anime/10/2025.jpg
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,4,8.83,129307,https://cdn.myanimelist.net/images/anime/9/13160.jpg
1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,8.82,486824,https://cdn.myanimelist.net/images/anime/4/19644.jpg
30276,One Punch Man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12,8.82,552458,https://cdn.myanimelist.net/images/anime/12/76049.jpg
164,Mononoke Hime,"Action, Adventure, Fantasy",Movie,1,8.81,339556,https://cdn.myanimelist.net/images/anime/7/75919.jpg
7311,Suzumiya Haruhi no Shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1,8.81,240297,https://cdn.myanimelist.net/images/anime/2/73842.jpg
17074,Monogatari Series: Second Season,"Comedy, Mystery, Romance, Supernatural, Vampire",TV,26,8.8,205959,https://cdn.myanimelist.net/images/anime/3/52133.jpg
21939,Mushishi Zoku Shou,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.8,101351,https://cdn.myanimelist.net/images/anime/13/58533.jpg
457,Mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,26,8.78,300030,https://cdn.myanimelist.net/images/anime/2/73862.jpg
2001,Tengen Toppa Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27,8.78,562962,https://cdn.myanimelist.net/images/anime/4/5123.jpg
245,Great Teacher Onizuka,"Comedy, Drama, School, Shounen, Slice of Life",TV,43,8.77,268487,https://cdn.myanimelist.net/images/anime/13/11460.jpg
32983,Natsume Yuujinchou Go,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.76,38865,https://cdn.myanimelist.net/images/anime/11/81755.jpg
5258,Hajime no Ippo: New Challenger,"Comedy, Drama, Shounen, Sports",TV,26,8.75,88995,https://cdn.myanimelist.net/images/anime/8/56617.jpg
28957,Mushishi Zoku Shou: Suzu no Shizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Movie,1,8.75,32266,https://cdn.myanimelist.net/images/anime/9/72689.jpg
11665,Natsume Yuujinchou Shi,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.75,98431,https://cdn.myanimelist.net/images/anime/3/37449.jpg
431,Howl no Ugoku Shiro,"Adventure, Drama, Fantasy, Romance",Movie,1,8.74,333186,https://cdn.myanimelist.net/images/anime/5/75810.jpg
11741,Fate/Zero 2nd Season,"Action, Fantasy, Supernatural, Thriller",TV,12,8.73,340973,https://cdn.myanimelist.net/images/anime/8/41125.jpg
31757,Kizumonogatari II: Nekketsu-hen,"Action, Mystery, Supernatural, Vampire",Movie,1,8.73,34347,https://cdn.myanimelist.net/images/anime/8/80930.jpg
19,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,8.72,247562,https://cdn.myanimelist.net/images/anime/10/18793.jpg
12365,Bakuman. 3rd Season,"Comedy, Drama, Romance, Shounen",TV,25,8.71,133620,https://cdn.myanimelist.net/images/anime/6/41845.jpg
1535,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,37,8.71,1013917,https://cdn.myanimelist.net/images/anime/9/9453.jpg
32366,Gintama°: Aizome Kaori-hen,"Comedy, Parody",OVA,2,8.69,16947,https://cdn.myanimelist.net/images/anime/8/79704.jpg
30654,Ansatsu Kyoushitsu (TV) 2nd Season,"Action, Comedy, School, Shounen",TV,25,8.68,176475,https://cdn.myanimelist.net/images/anime/8/77966.jpg
20583,Haikyuu!!,"Comedy, Drama, School, Shounen, Sports",TV,25,8.68,284498,https://cdn.myanimelist.net/images/anime/7/76014.jpg
19647,Hajime no Ippo: Rising,"Comedy, Drama, Shounen, Sports",TV,25,8.68,66756,https://cdn.myanimelist.net/images/anime/6/56147.jpg
